358_cause_recode,count
5,2
6,44
7,3
8,7
9,3
10,7747
11,134
13,449
14,136
18,3
20,20
21,3
22,102
23,35980
24,1750
27,1
28,18
29,15
30,2
31,3
33,10
35,11
38,2
39,2
41,66
42,178
43,147
47,7656
49,3834
50,848
51,1115
52,1795
53,2753
54,1076
56,1022
58,5
60,6
61,129
62,28
64,1
65,19
66,57
67,396
68,1010
72,68
73,1984
74,3270
75,2703
77,13729
78,11384
79,1192
81,43449
82,9216
83,718
85,14206
86,4045
87,3351
88,35285
89,1190
91,516
92,3767
93,158808
94,452
95,43
96,1366
98,8633
99,2718
101,2539
102,48
103,4961
104,41077
106,1338
107,4014
108,7682
109,14377
110,409
111,22
113,28504
114,360
115,291
117,12910
118,14053
119,751
120,263
122,13500
123,238
124,2341
125,39371
127,1172
129,20408
130,59
131,317
132,10723
134,6301
135,10639
136,123
137,5331
139,3
140,23
142,40
143,894
144,554
145,12050
146,926
149,308
150,851
151,964
152,2903
153,2636
154,843
155,1384
158,1788
159,70649
160,175
161,242
162,6
163,526
166,74
167,2690
168,216
169,5034
171,491
172,5985
173,11591
175,92731
176,1600
178,5976
179,2218
180,462
181,686
182,142
183,500
184,387
186,636
187,679
188,20489
189,82453
190,3703
191,1399
192,136
193,1606
194,25576
195,51
196,80
199,28
201,1511
202,71
203,691
204,848
206,16178
207,32515
208,9599
209,2877
211,134269
212,4259
214,58937
215,208809
218,7171
219,5780
221,1185
222,828
224,2372
225,14352
226,5123
227,23976
228,42739
230,51719
231,5141
232,707
233,12232
235,5558
236,27818
237,6638
238,70731
239,23656
241,7836
242,11123
243,8855
245,2945
246,1108
249,25
250,19
251,154
253,1726
255,231
256,3158
257,51246
259,236
260,49
261,460
264,410
265,322
266,12457
267,123603
268,3402
269,989
271,908
273,16618
274,2
275,97
276,728
277,1127
278,27352
280,209
282,1877
284,952
285,1126
286,983
287,22
288,291
289,596
290,419
291,1678
292,960
293,14577
294,3061
295,6130
296,1827
298,14939
299,92
300,15047
301,10216
302,3423
304,3430
305,1627
306,7837
308,1870
309,2116
311,2601
312,1256
313,4367
314,1233
315,1407
317,1425
318,1603
323,45
324,115
325,4065
326,1132
327,43974
328,332
329,78
330,10978
331,1298
333,502
334,237
335,72
337,137
338,220
341,19
342,4
343,1
345,10
347,62
348,35
350,46
351,70
352,219
353,35
354,135
355,162
357,3190
358,4779
359,29
360,411
361,635
362,1137
363,931
364,2871
366,345
367,169
368,844
369,2763
370,673
371,412
372,3021
373,939
374,1166
376,5201
378,2353
379,15195
380,15962
384,421
386,2751
387,612
388,5173
390,3
391,152
392,3447
393,6928
394,182
395,2825
396,1190
397,16866
398,3
399,740
400,437
401,562
402,807
404,9242
405,3636
406,11190
407,594
408,139
409,3662
410,4370
411,1763
412,306
413,1
414,2924
415,80
416,29
417,40
418,143
420,28274
421,2307
422,677
423,10307
425,5034
426,277
427,1143
428,8613
429,18241
430,723
431,2101
433,101
434,566
435,12227
436,2053
437,96
438,75
439,2
440,203
441,2602
443,3187
444,171
445,68
446,273
447,78
448,1310
450,35
451,349
452,31
454,432
455,132
456,2036
